Time,Close
2018-10-29,6344.5
2018-10-30,6330.87
2018-10-31,6371.93
2018-11-01,6410.0
2018-11-02,6433.98
2018-11-03,6387.09
2018-11-04,6485.85
2018-11-05,6468.99
2018-11-06,6519.11
2018-11-07,6578.46
2018-11-08,6479.84
2018-11-09,6419.99
2018-11-10,6433.05
2018-11-11,6449.81
2018-11-12,6453.07
2018-11-13,6457.66
2018-11-14,5922.41
2018-11-15,5753.4
2018-11-16,5655.94
2018-11-17,5628.29
2018-11-18,5662.0
2018-11-19,4910.03
2018-11-20,4558.86
2018-11-21,4661.07
2018-11-22,4370.0
2018-11-23,4420.61
2018-11-24,3932.44
2018-11-25,4085.78
2018-11-26,3862.2
2018-11-27,3875.21
2018-11-28,4264.85
2018-11-29,4295.84
2018-11-30,4041.32
2018-12-01,4190.02
2018-12-02,4161.01
2018-12-03,3884.01
2018-12-04,3951.64
2018-12-05,3769.84
2018-12-06,3508.75
2018-12-07,3403.55
2018-12-08,3410.93
2018-12-09,3545.37
2018-12-10,3432.88
2018-12-11,3380.39
2018-12-12,3445.0
2018-12-13,3302.06
2018-12-14,3224.17
2018-12-15,3211.72
2018-12-16,3228.67
2018-12-17,3509.08
2018-12-18,3652.98
2018-12-19,3662.22
2018-12-20,4049.62
2018-12-21,3838.66
2018-12-22,3948.91
2018-12-23,3929.71
2018-12-24,4008.01
2018-12-25,3745.79
2018-12-26,3777.74
2018-12-27,3567.91
2018-12-28,3839.26
2018-12-29,3695.32
2018-12-30,3801.91
2018-12-31,3702.9
2019-01-01,3797.14
2019-01-02,3858.56
2019-01-03,3766.78
2019-01-04,3792.01
2019-01-05,3770.96
2019-01-06,3987.6
2019-01-07,3975.45
2019-01-08,3955.13
2019-01-09,3966.65
2019-01-10,3585.88
2019-01-11,3601.31
2019-01-12,3583.13
2019-01-13,3476.81
2019-01-14,3626.09
2019-01-15,3553.06
2019-01-16,3591.84
2019-01-17,3616.21
2019-01-18,3594.87
2019-01-19,3665.3
2019-01-20,3539.28
2019-01-21,3526.9
2019-01-22,3570.93
2019-01-23,3552.82
2019-01-24,3569.62
2019-01-25,3565.29
2019-01-26,3565.25
2019-01-27,3550.84
2019-01-28,3434.15
2019-01-29,3411.04
2019-01-30,3458.18
2019-01-31,3434.1
2019-02-01,3462.07
2019-02-02,3504.77
2019-02-03,3458.11
2019-02-04,3463.22
2019-02-05,3471.59
2019-02-06,3405.37
2019-02-07,3398.4
2019-02-08,3659.04
2019-02-09,3665.18
2019-02-10,3680.06
2019-02-11,3631.05
2019-02-12,3631.46
2019-02-13,3609.4
2019-02-14,3590.56
2019-02-15,3602.47
2019-02-16,3618.41
2019-02-17,3667.58
2019-02-18,3898.6
2019-02-19,3907.79
2019-02-20,3969.74
2019-02-21,3937.31
2019-02-22,3962.0
2019-02-23,4117.76
2019-02-24,3743.56
2019-02-25,3827.92
2019-02-26,3809.23
2019-02-27,3818.07
2019-02-28,3813.69
2019-03-01,3823.0
2019-03-02,3819.93
2019-03-03,3807.75
2019-03-04,3715.3
2019-03-05,3857.73
2019-03-06,3861.84
2019-03-07,3873.64
2019-03-08,3864.89
2019-03-09,3943.04
2019-03-10,3916.82
2019-03-11,3871.61
2019-03-12,3882.73
2019-03-13,3866.0
2019-03-14,3877.12
2019-03-15,3923.76
2019-03-16,4005.98
2019-03-17,3981.14
2019-03-18,3987.81
2019-03-19,4015.53
2019-03-20,4043.04
2019-03-21,3980.64
2019-03-22,3986.93
2019-03-23,4006.01
2019-03-24,3992.18
2019-03-25,3936.12
2019-03-26,3948.55
2019-03-27,4038.05
2019-03-28,4027.81
2019-03-29,4103.25
2019-03-30,4106.97
2019-03-31,4103.95
2019-04-01,4144.56
2019-04-02,4857.29
2019-04-03,4932.6
2019-04-04,4898.66
2019-04-05,5004.95
2019-04-06,5043.89
2019-04-07,5170.27
2019-04-08,5236.9
2019-04-09,5150.0
2019-04-10,5308.25
2019-04-11,5017.37
2019-04-12,5048.01
2019-04-13,5045.22
2019-04-14,5131.3
2019-04-15,5024.95
2019-04-16,5173.72
2019-04-17,5202.82
2019-04-18,5258.44
2019-04-19,5258.68
2019-04-20,5291.73
2019-04-21,5256.14
2019-04-22,5357.14
2019-04-23,5493.31
2019-04-24,5415.0
2019-04-25,5219.9
2019-04-26,5314.1
2019-04-27,5295.69
2019-04-28,5307.52
2019-04-29,5238.14
2019-04-30,5320.81
2019-05-01,5383.2
2019-05-02,5492.87
2019-05-03,5772.69
2019-05-04,5829.45
2019-05-05,5775.62
2019-05-06,5747.79
2019-05-07,5846.34
2019-05-08,5987.29
2019-05-09,6209.18
2019-05-10,6373.33
2019-05-11,7076.22
2019-05-12,6967.31
2019-05-13,7790.71
2019-05-14,7947.56
2019-05-15,8169.87
2019-05-16,7866.59
2019-05-17,7355.26
2019-05-18,7257.45
2019-05-19,8148.48
2019-05-20,7938.15
2019-05-21,7904.87
2019-05-22,7628.43
2019-05-23,7851.51
2019-05-24,7964.87
2019-05-25,8025.41
2019-05-26,8614.43
2019-05-27,8756.32
2019-05-28,8715.64
2019-05-29,8645.68
2019-05-30,8269.54
2019-05-31,8555.0
2019-06-01,8544.07
2019-06-02,8725.98
2019-06-03,8115.82
2019-06-04,7687.03
2019-06-05,7776.5
2019-06-06,7786.7
2019-06-07,7980.53
2019-06-08,7893.62
2019-06-09,7628.13
2019-06-10,7982.75
2019-06-11,7884.9
2019-06-12,8127.64
2019-06-13,8218.54
2019-06-14,8650.0
2019-06-15,8808.7
2019-06-16,8953.33
2019-06-17,9313.96
2019-06-18,9081.55
2019-06-19,9255.49
2019-06-20,9517.12
2019-06-21,10159.86
2019-06-22,10729.5
2019-06-23,10906.07
2019-06-24,11056.59
2019-06-25,11820.86
2019-06-26,13093.8
2019-06-27,11329.99
2019-06-28,12400.63
2019-06-29,11903.13
2019-06-30,10854.1
2019-07-01,10624.93
2019-07-02,10842.85
2019-07-03,11940.0
2019-07-04,11145.67
2019-07-05,10970.73
2019-07-06,11256.49
2019-07-07,11406.24
2019-07-08,12238.6
2019-07-09,12543.41
2019-07-10,12108.37
2019-07-11,11342.89
2019-07-12,11757.22
2019-07-13,11355.76
2019-07-14,10174.18
2019-07-15,10838.72
2019-07-16,9439.59
2019-07-17,9667.92
2019-07-18,10627.16
2019-07-19,10504.29
2019-07-20,10740.23
2019-07-21,10589.45
2019-07-22,10340.31
2019-07-23,9864.91
2019-07-24,9763.28
2019-07-25,9879.87
2019-07-26,9824.0
2019-07-27,9476.52
2019-07-28,9541.54
2019-07-29,9507.64
2019-07-30,9574.21
2019-07-31,10080.53
2019-08-01,10374.99
2019-08-02,10523.75
2019-08-03,10816.86
2019-08-04,10929.23
2019-08-05,11828.8
2019-08-06,11481.69
2019-08-07,11975.03
2019-08-08,11999.77
2019-08-09,11879.99
2019-08-10,11309.31
2019-08-11,11549.97
2019-08-12,11396.08
2019-08-13,10892.71
2019-08-14,10050.37
2019-08-15,10293.93
2019-08-16,10331.54
2019-08-17,10216.02
2019-08-18,10306.78
2019-08-19,10915.54
2019-08-20,10760.51
2019-08-21,10142.57
2019-08-22,10099.88
2019-08-23,10389.55
2019-08-24,10134.35
2019-08-25,10142.69
2019-08-26,10372.25
2019-08-27,10185.05
2019-08-28,9721.0
2019-08-29,9498.44
2019-08-30,9584.54
2019-08-31,9587.47
2019-09-01,9724.98
2019-09-02,10340.0
2019-09-03,10615.28
2019-09-04,10567.02
2019-09-05,10564.49
2019-09-06,10298.73
2019-09-07,10455.88
2019-09-08,10381.18
2019-09-09,10303.12
2019-09-10,10098.15
2019-09-11,10158.33
2019-09-12,10415.01
2019-09-13,10342.06
2019-09-14,10335.02
2019-09-15,10302.01
2019-09-16,10251.31
2019-09-17,10187.82
2019-09-18,10156.99
2019-09-19,10244.29
2019-09-20,10168.59
2019-09-21,9986.39
2019-09-22,10028.87
2019-09-23,9702.25
2019-09-24,8493.14
2019-09-25,8430.05
2019-09-26,8063.73
2019-09-27,8177.91
2019-09-28,8198.81
2019-09-29,8043.82
2019-09-30,8289.34
2019-10-01,8292.44
2019-10-02,8359.94
2019-10-03,8223.96
2019-10-04,8137.13
2019-10-05,8126.19
2019-10-06,7854.25
2019-10-07,8190.09
2019-10-08,8168.39
2019-10-09,8560.74
2019-10-10,8558.03
2019-10-11,8258.5
2019-10-12,8300.09
2019-10-13,8275.01
2019-10-14,8348.2
2019-10-15,8159.29
2019-10-16,7991.74
2019-10-17,8070.58
2019-10-18,7947.01
2019-10-19,7948.01
2019-10-20,8223.35
2019-10-21,8197.27
2019-10-22,8020.0
2019-10-23,7466.62
2019-10-24,7412.41
2019-10-25,8655.02
2019-10-26,9230.0
2019-10-27,9529.93
2019-10-28,9205.14
2019-10-29,9407.62
2019-10-30,9154.72
2019-10-31,9140.85
2019-11-01,9231.61
2019-11-02,9289.52
2019-11-03,9194.71
2019-11-04,9393.35
2019-11-05,9308.66
2019-11-06,9339.05
2019-11-07,9216.2
2019-11-08,8773.73
2019-11-09,8809.41
2019-11-10,9039.47
2019-11-11,8733.27
2019-11-12,8821.94
2019-11-13,8777.12
2019-11-14,8646.68
2019-11-15,8471.73
2019-11-16,8491.02
2019-11-17,8502.4
2019-11-18,8187.17
2019-11-19,8133.64
2019-11-20,8098.01
2019-11-21,7627.74
2019-11-22,7268.23
2019-11-23,7311.57
2019-11-24,6903.28
2019-11-25,7109.57
2019-11-26,7156.14
2019-11-27,7508.52
2019-11-28,7419.49
2019-11-29,7739.68
2019-11-30,7541.89
2019-12-01,7390.89
2019-12-02,7294.28
2019-12-03,7292.71
2019-12-04,7194.32
2019-12-05,7389.0
2019-12-06,7527.47
2019-12-07,7488.21
2019-12-08,7510.11
2019-12-09,7338.64
2019-12-10,7224.13
2019-12-11,7210.0
2019-12-12,7198.08
2019-12-13,7258.48
2019-12-14,7064.05
2019-12-15,7118.59
2019-12-16,6891.72
2019-12-17,6623.82
2019-12-18,7277.83
2019-12-19,7150.3
2019-12-20,7187.83
2019-12-21,7132.75
2019-12-22,7501.44
2019-12-23,7317.09
2019-12-24,7255.77
2019-12-25,7204.63
2019-12-26,7202.0
2019-12-27,7254.74
2019-12-28,7316.14
2019-12-29,7388.24
2019-12-30,7246.0
2019-12-31,7195.23
2020-01-01,7200.85
2020-01-02,6965.71
2020-01-03,7344.96
2020-01-04,7354.11
2020-01-05,7358.75
2020-01-06,7758.0
2020-01-07,8145.28
2020-01-08,8055.98
2020-01-09,7817.76
2020-01-10,8197.02
2020-01-11,8020.01
2020-01-12,8184.98
2020-01-13,8110.34
2020-01-14,8810.01
2020-01-15,8821.41
2020-01-16,8720.01
2020-01-17,8913.28
2020-01-18,8915.96
2020-01-19,8701.7
2020-01-20,8642.35
2020-01-21,8736.03
2020-01-22,8682.36
2020-01-23,8404.52
2020-01-24,8439.0
2020-01-25,8340.58
2020-01-26,8615.0
2020-01-27,8907.57
2020-01-28,9374.21
2020-01-29,9301.53
2020-01-30,9513.21
2020-01-31,9352.89
2020-02-01,9384.61
2020-02-02,9331.51
2020-02-03,9292.24
2020-02-04,9197.02
2020-02-05,9612.04
2020-02-06,9772.0
2020-02-07,9813.73
2020-02-08,9895.05
2020-02-09,10151.75
2020-02-10,9851.83
2020-02-11,10223.08
2020-02-12,10326.46
2020-02-13,10229.63
2020-02-14,10344.36
2020-02-15,9904.72
2020-02-16,9917.27
2020-02-17,9706.0
2020-02-18,10164.71
2020-02-19,9593.79
2020-02-20,9596.42
2020-02-21,9677.05
2020-02-22,9650.86
2020-02-23,9936.4
2020-02-24,9656.13
2020-02-25,9315.84
2020-02-26,8785.25
2020-02-27,8823.21
2020-02-28,8692.91
2020-02-29,8523.61
2020-03-01,8531.88
2020-03-02,8915.24
2020-03-03,8760.07
2020-03-04,8750.87
2020-03-05,9054.68
2020-03-06,9131.88
2020-03-07,8886.66
2020-03-08,8033.31
2020-03-09,7929.87
